Código de producto;Nombre del producto;Categoría;Subcategoría;CATEGOR;Inventario inicial;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
195908900429        ;"LAPTOP HP RYZEN 7 - 16GB  - 512GB SSD - 15,6"" IPS - 15-EH1021LA";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 7 - 16GB  - 512GB SSD - 15,6"" IPS - 15-EH1021LA";"NOMBRE DE PRODUCTO: 43R78LA#ABM
MARCA: HP
MODELO: 15-EH1021LA
PROCESADOR: AMD RYZEN 7 5700U
MEMORIA: 16 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15,6"" IPS LED
GRÁFICA: AMD RADEON
COLOR: PLATEADA";HP
195161517600        ;"LAPTOP HP CORE i3 - 4GB - 1TB HDD - 14"" HD - 240 G8";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP CORE i3 - 4GB - 1TB HDD - 14"" HD - 240 G8";"NOMBRE DE PRODUCTO: H:1213
MARCA: HP
MODELO: 240 G8
PROCESADOR: INTEL CORE i3-1005G1
MEMORIA: 4 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD
GRÁFICA: INTEL UHD 600
COLOR: NEGRA";HP
195161517631        ;"LAPTOP HP CORE i5 - 8GB - 1TB HDD - 14"" HD - 240 G8";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP CORE i5 - 8GB - 1TB HDD - 14"" HD - 240 G8";"NOMBRE DE PRODUCTO: 2K2P4LT#ABM
MARCA: HP
MODELO: 240 G8
PROCESADOR: INTEL CORE i5-1035G1
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD
GRÁFICA: INTEL UHD
COLOR: NEGRA";HP
195161518638        ;"LAPTOP HP CORE i7 - 8GB - 1TB HDD - 2GB RADEON 620 - 14"" HD - 240 G8";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP CORE i7 - 8GB - 1TB HDD - 2GB RADEON 620 - 14"" HD - 240 G8";"NOMBRE DE PRODUCTO: 2K2W4LT#ABM
MARCA: HP
MODELO: 240 G8
PROCESADOR: INTEL CORE i7-1065G7
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD
GRÁFICA: 2GB RADEON 620
COLOR: NEGRA";HP
195122766856        ;"LAPTOP HP ATHLON 3050U - 4GB - 500GB HDD - 14"" HD - 245 G7";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP ATHLON 3050U - 4GB - 500GB HDD - 14"" HD - 245 G7";"NOMBRE DE PRODUCTO: NT015HPQ13
MARCA: HP
MODELO: 245 G7
PROCESADOR: AMD ATHLON 3050U
MEMORIA: 4 GB DDR4
DISCOS: 500 GB HDD
PANTALLA: 14"" HD
GRÁFICA: AMD GRAPHICS
COLOR: GRIS";HP
195122001674        ;"LAPTOP HP RYZEN 3 - 4GB - 1TB HDD - 14"" HD - 245 G7";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 3 - 4GB - 1TB HDD - 14"" HD - 245 G7";"NOMBRE DE PRODUCTO: H:1214
MARCA: HP
MODELO: 245 G7
PROCESADOR: AMD RYZEN 3 3250U
MEMORIA: 4 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD
GRÁFICA: AMD GRAPHICS
COLOR: NEGRA";HP
195161297076        ;"LAPTOP HP CORE i3 - 4GB - 1TB HDD - 14"" HD - 348 G7";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP CORE i3 - 4GB - 1TB HDD - 14"" HD - 348 G7";"NOMBRE DE PRODUCTO: 2E4U2LT#ABM
MARCA: HP
MODELO: 348 G7
PROCESADOR: INTEL CORE i3-10110U
MEMORIA: 4 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD
GRÁFICA: INTEL GRAPHICS
COLOR: PLATEADA";HP
195122428761        ;"LAPTOP HP OMEN CORE i7 - 8GB - 256GB + 1TB - 6GB GTX1660Ti - 15,6"" IPS - 15-DH1070WM";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP OMEN CORE i7 - 8GB - 256GB + 1TB - 6GB GTX1660Ti - 15,6"" IPS - 15-DH1070WM";"NOMBRE DE PRODUCTO: 1M9P3UA#ABA
MARCA: HP OMEN
MODELO: 15-DH1070WM
PROCESADOR: INTEL CORE i7-10750H
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD + 1000 GB HDD
PANTALLA: 15,6"" FHD IPS LED
GRÁFICA: 6GB GTX-1660Ti NVIDIA GEFORCE
COLOR: NEGRA";HP
195042163032        ;"LAPTOP LENOVO RYZEN 5 - 8GB - 1TB HDD - 14"" HD  - 14ARE05";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO RYZEN 5 - 8GB - 1TB HDD - 14"" HD  - 14ARE05";"NOMBRE DE PRODUCTO: 81W3
MARCA: LENOVO
MODELO: 14ARE05 IDEAPAD 3
PROCESADOR: AMD RYZEN 5 4500U
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD TN
GRÁFICA: AMD RADEON
COLOR: AZUL";Lenovo
195235265482        ;"LAPTOP LENOVO CORE i5 - 4GB - 1TB HDD - 14"" HD - 14IIL05";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO CORE i5 - 4GB - 1TB HDD - 14"" HD - 14IIL05";"NOMBRE DE PRODUCTO: 81WD00HDLM
MARCA: LENOVO
MODELO: 14IIL05 IDEAPAD 3
PROCESADOR: INTEL CORE i5-1035G1
MEMORIA: 4 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD TN
GRÁFICA: INTEL GRAPHICS
COLOR: GRIS";Lenovo
81WA00DFLM          ;"LAPTOP LENOVO CORE i3 - 8GB - 256GB SSD + 1TB HDD - 14"" HD - 14IML05";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO CORE i3 - 8GB - 256GB SSD + 1TB HDD - 14"" HD - 14IML05";"NOMBRE DE PRODUCTO: 81WA00DFLM
MARCA: LENOVO
MODELO: 14IML05 IDEAPAD 3
PROCESADOR: INTEL CORE i5-1035G1
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD
GRÁFICA: INTEL GRAPHICS
COLOR: GRIS";Lenovo
195042614305        ;"LAPTOP LENOVO CORE i5 - 8GB - 256GB SSD - 15,6"" FHD - 15IIL05";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO CORE i5 - 8GB - 256GB SSD - 15,6"" FHD - 15IIL05";"NOMBRE DE PRODUCTO: 81WE00ENUS
MARCA: LENOVO
MODELO: 15IIL05 IDEAPAD 3
PROCESADOR: INTEL CORE i5-1035G1
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" FHD
GRÁFICA: INTEL GRAPHICS
COLOR: AZUL";Lenovo
195477540095        ;"LAPTOP LENOVO CORE i3 - 8GB - 256GB - 15,6"" HD - TACTIL - 15IML05";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO CORE i3 - 8GB - 256GB - 15,6"" HD - TACTIL - 15IML05";"NOMBRE DE PRODUCTO: 81WR000FUS
MARCA: LENOVO
MODELO: 15IML05 IDEAPAD 3
PROCESADOR: INTEL CORE i3-10110U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" HD TN TS
GRÁFICA: INTEL GRAPHICS
COLOR: ABYSS_BLUE";Lenovo
195891876954        ;"LAPTOP LENOVO 2-EN-1 CELERON - 8GB - 128GB SSD - 10.1"" IPS - IDEAPAD D330-10IGL";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO 2-EN-1 CELERON - 8GB - 128GB SSD - 10.1"" IPS - IDEAPAD D330-10IGL";"NOMBRE DE PRODUCTO: 82H0001FLM
MARCA: LENOVO
MODELO: D330-10IGL 2-EN-1 IDEAPAD
PROCESADOR: INTEL CELERON N4020
MEMORIA: 8 GB DDR4
DISCOS: 128 GB SSD
PANTALLA: 10.1"" HD IPS TS
GRÁFICA: INTEL UHD GRAPHICS 600
COLOR: MINERAL_GRIS";Lenovo
194632976182        ;"LAPTOP LENOVO 2-EN-1 RYZEN 3 - 4GB - 128GB SSD - 14"" - TACTIL - FLEX 5";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO 2-EN-1 RYZEN 3 - 4GB - 128GB SSD - 14"" - TACTIL - FLEX 5";"NOMBRE DE PRODUCTO: 81X2000HUS
MARCA: LENOVO
MODELO: FLEX 5 / 2-EN-1
PROCESADOR: AMD RYZEN 3 4300U
MEMORIA: 4 GB DDR4
DISCOS: 128 GB SSD
PANTALLA: 14"" HD TACTIL
GRÁFICA: AMD RADEON
COLOR: GRIS GRAPHITE";Lenovo
195891643112        ;"LAPTOP LENOVO RYZEN 3 - 8GB - 2TB HDD - 15,6"" HD - RADEON - L340-15API";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO RYZEN 3 - 8GB - 2TB HDD - 15,6"" HD - RADEON - L340-15API";"NOMBRE DE PRODUCTO: 81LW00LBLM
MARCA: LENOVO
MODELO: L340-15API
PROCESADOR: AMD RYZEN 3 3200U
MEMORIA: 8 GB DDR4
DISCOS: 2000 GB HDD
PANTALLA: 15,6"" HD TN
GRÁFICA: AMD RADEON
COLOR: MORADO DARK";Lenovo
195891645154        ;"LAPTOP LENOVO AMD 3020E - 4GB - 500GB HDD - 14"" HD - RADEON - S145-14API";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO AMD 3020E - 4GB - 500GB HDD - 14"" HD - RADEON - S145-14API";"NOMBRE DE PRODUCTO: 81UV00BBLM
MARCA: LENOVO
MODELO: S145-14API
PROCESADOR: AMD 3020E
MEMORIA: 4 GB DDR4
DISCOS: 500 GB HDD
PANTALLA: 14"" HD TN
GRÁFICA: AMD RADEON
COLOR: NEGRA";Lenovo
195477263642        ;"LAPTOP LENOVO CORE i5 - 8GB - 240GB SSD - 14"" FHD - THINKPAD E14";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO CORE i5 - 8GB - 240GB SSD - 14"" FHD - THINKPAD E14";"NOMBRE DE PRODUCTO: 20TBS01600
MARCA: LENOVO
MODELO: THINKPAD E14
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 240 GB SSD
PANTALLA: 14"" FHD 
GRÁFICA: INTEL IRISXe
COLOR: NEGRA";Lenovo
824142210307        ;"LAPTOP MSI CORE i5 - 8GB - 256GB SSD - 4GB GTX1650 MAX-Q - 15.6"" FHD - GF63 THIN 10SCXR-222US";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP MSI CORE i5 - 8GB - 256GB SSD - 4GB GTX1650 MAX-Q - 15.6"" FHD - GF63 THIN 10SCXR-222US";"NOMBRE DE PRODUCTO: 10SCXR-222US
MARCA: MSI
MODELO: GF63 THIN
PROCESADOR: INTEL CORE i5-10300H
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15.6"" FHD
GRÁFICA: 4GB GTX1650 MAX-Q NVIDIA GEFORCE
COLOR: NEGRA";MSI
824142248652        ;"LAPTOP MSI CORE i7 - 8GB - 512 SSD - 4GB RTX3050ti - 15,6"" FHD - SWORD 15 A11UD";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP MSI CORE i7 - 8GB - 512 SSD - 4GB RTX3050ti - 15,6"" FHD - SWORD 15 A11UD";"NOMBRE DE PRODUCTO: 9S7-158213-001
MARCA: MSI
MODELO: SWORD 15 A11UD
PROCESADOR: INTEL CORE i7-1180H
MEMORIA: 8 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15,6"" FHD
GRÁFICA: 4GB RTX-3050ti NVIDIA GEFORCE
COLOR: BLANCA";MSI
LAP4ED-256G         ;"LAPTOP XTRATECH CELRON - 4GB - 320GB SSD - 11.6"" - TACTIL - YOGA";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP XTRATECH CELRON - 4GB - 320GB SSD - 11.6"" - TACTIL - YOGA";"NOMBRE DE PRODUCTO: LAP4ED-256G
MARCA: XTRATECH
MODELO: YOGA 
PROCESADOR: INTEL CELERON N3350
MEMORIA: 4 GB DDR4
DISCOS: 320 GB SSD
PANTALLA: 11.6"" TACTIL
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRA";Xtratech
195908889373;"LAPTOP HP AMD 3020E - 8GB - 1TB HDD - 15,6"" - 255 G8";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP AMD 3020E - 8GB - 1TB HDD - 15,6"" - 255 G8";"NOMBRE DE PRODUCTO: 43K48LT#ABM
MARCA: HP
MODELO: 255 G8
PROCESADOR: AMD 3020E
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 15.6"" HD
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRA";HP
195553486484;"LAPTOP ASUS CORE i5 - 8GB - 256GB SSD - 15,6"" FHD - K513EA-BQ2776";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS CORE i5 - 8GB - 256GB SSD - 15,6"" FHD - K513EA-BQ2776";"NOMBRE DE PRODUCTO: 90NB05G1-M001V0
MARCA: ASUS 
MODELO: K513EA-BQ2776
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15.6"" FULL HD
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRA";ASUS
195891983041;"LAPTOP LENOVO YOGA 6 RYZEN 5 - 8GB - 256GB SSD - 13,3"" IPS - RADEON - 13ALC6";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO YOGA 6 RYZEN 5 - 8GB - 256GB SSD - 13,3"" IPS - RADEON - 13ALC6";"NOMBRE DE PRODUCTO: 82ND0009US
MARCA: LENOVO 
MODELO: YOGA 6 13ALC6
PROCESADOR: AMD RYZEN 5 5500U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 13.3"" FHD IPS
GRÁFICA: RADEON GRAPHICS
COLOR: ABYSS_BLUE";LENOVO
195553137041;"LAPTOP ASUS RYZEN 5 - 8GB - 256GB - 2GB MX450 - 14"" FHD - Q408UG-211.BL";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS RYZEN 5 - 8GB - 256GB - 2GB MX450 - 14"" FHD - Q408UG-211.BL";"NOMBRE DE PRODUCTO: 90NB0UC1-M00520
MARCA: ASUS 
MODELO: Q408UG-211.BL
PROCESADOR: AMD RYZEN 5 5500U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 14"" FHD
GRÁFICA: 2 GB MX450 NVIDIA GEFORCE
COLOR: GRIS";ASUS
195908164685;"LAPTOP HP CORE i3 - 4GB  - 256GB SSD - 14"" IPS - 14-DQ2055WM";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP CORE i3 - 4GB  - 256GB SSD - 14"" IPS - 14-DQ2055WM";"NOMBRE DE PRODUCTO: 39K15UA#ABA
MARCA: HP
MODELO: 14-DQ2055WM
PROCESADOR: INTEL CORE i3-1115G4
MEMORIA: 4 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 14"" FHD IPS
GRÁFICA: INTEL UHD GRAPHICS
COLOR: PLATEADA";HP
195553212571;"LAPTOP ASUS ROG RYZEN 9 - 16GB - 1TB SSD  - 6GB RTX3060 - 15,6"" FHD - G513QM-WS96";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS ROG RYZEN 9 - 16GB - 1TB SSD  - 6GB RTX3060 - 15,6"" FHD - G513QM-WS96";"NOMBRE DE PRODUCTO: 90NR0572-M08490
MARCA: ASUS ROG
MODELO: G513QM-WS96
PROCESADOR: AMD RYZEN 9-5900HX
MEMORIA: 16 GB DDR4
DISCOS: 1000 GB SSD
PANTALLA: 15.6"" FHD IPS
GRÁFICA: 6 GB RTX-3060 NVIDIA GEFORCE
COLOR: GRIS";ASUS
195553016728;"LAPTOP ASUS RYZEN 9 - 16GB - 1TB SSD - 8GB RTX3070  - 15,6"" WQHD 165Hz - GA503QR-211.ZG15";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS RYZEN 9 - 16GB - 1TB SSD - 8GB RTX3070  - 15,6"" WQHD 165Hz - GA503QR-211.ZG15";"NOMBRE DE PRODUCTO: 90NR04P2-M01980
MARCA: ASUS ZEPHYRUS
MODELO: GA503QR-211.ZG15
PROCESADOR: AMD RYZEN 9-5900HS
MEMORIA: 16 GB DDR4
DISCOS: 1000 GB SSD
PANTALLA: 15.6"" WQHD 165Hz
GRÁFICA: 8 GB RTX-3070 NVIDIA GEFORCE
COLOR: GRIS";ASUS
195891998984;"LAPTOP LENOVO CORE i5 - 8GB - 256GB - 17,3"" IPS - 17ITL6";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO CORE i5 - 8GB - 256GB - 17,3"" IPS - 17ITL6";"NOMBRE DE PRODUCTO: 82H900E0US
MARCA: LENOVO 
MODELO: 17ITL6
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 17.3"" FHD IPS
GRÁFICA: INTEL IRISxe
COLOR: GRIS";Lenovo
195553486422;"LAPTOP ASUS TUF CORE i9 - 16GB - 1TB SSD - 6GB RTX3060 - 15,6"" FHD WV 144Hz - F15 FX506HM-HN183";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS TUF CORE i9 - 16GB - 1TB SSD - 6GB RTX3060 - 15,6"" FHD WV 144Hz - F15 FX506HM-HN183";"NOMBRE DE PRODUCTO: 90NR0754-MD4950
MARCA: ASUS TUF
MODELO: F15 FX506HM-HN183
PROCESADOR: INTEL CORE i9-11900H
MEMORIA: 16 GB DDR4
DISCOS: 1000 GB SSD
PANTALLA: 15.6"" FHD WV 144Hz
GRÁFICA: 6 GB RTX-3060 NVIDIA GEFORCE
COLOR: GRAPHITE_BLACK";Asus
195553234108;"LAPTOP ASUS TUF DASH CORE i7 - 16GB - 512GB SSD - 15,6"" FHD - 6GB RTX3060 - FX516PM-HN023T";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS TUF DASH CORE i7 - 16GB - 512GB SSD - 15,6"" FHD - 6GB RTX3060 - FX516PM-HN023T";"NOMBRE DE PRODUCTO: 90NR05X1-M05560
MARCA: ASUS TUF
MODELO: DASH FX516PM-HN023T
PROCESADOR: INTEL CORE i7-11370H
MEMORIA: 16 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15.6"" FHD WV 144Hz
GRÁFICA: 6 GB RTX-3060 NVIDIA GEFORCE
COLOR: GRIS";Asus
195553396042;"LAPTOP ASUS RYZEN 3 - 4GB - 256GB SSD - RADEON - 14"" FHD - X412DA-EB716";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS RYZEN 3 - 4GB - 256GB SSD - RADEON - 14"" FHD - X412DA-EB716";"NOMBRE DE PRODUCTO: 90NB0M51-M10980
MARCA: ASUS
MODELO: X412DA-EB716
PROCESADOR: AMD RYZEN 3 3250U
MEMORIA: 4 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 14"" FHD WD
GRÁFICA: RADEON GRAPHICS
COLOR: SILVER";Asus
195235948354;"LAPTOP LENOVO AMD 3020E - 8GB - 1TB HDD - 14"" HD - S145-14API";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP LENOVO AMD 3020E - 8GB - 1TB HDD - 14"" HD - S145-14API";"NOMBRE DE PRODUCTO: 81UV00AKLM
MARCA: LENOVO 
MODELO: S145-14API
PROCESADOR: AMD 3020E
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD TN
GRÁFICA: AMD RADEON 530
COLOR: GRIS";Lenovo
196068804015;"LAPTOP HP RYZEN 5 - 8GB - 256GB SSD - 15,6"" FHD - 15-EF2126WM";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP HP RYZEN 5 - 8GB - 256GB SSD - 15,6"" FHD - 15-EF2126WM";"NOMBRE DE PRODUCTO: 4J771UA
MARCA: HP
MODELO: 15-EF2126WM
PROCESADOR: AMD RYZEN 5 5500U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15.6"" FHD
GRÁFICA: RADEON GRAPHICS
COLOR: SPRUCE BLUE";HP
884116372585;"LAPTOP DELL CORE i5 - 8GB - 256GB  SSD - 15,6"" IRISXe - 3501";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL CORE i5 - 8GB - 256GB  SSD - 15,6"" IRISXe - 3501";"NOMBRE DE PRODUCTO: 624C2
MARCA: DELL 
MODELO: 3501 INSPIRON 3000 SERIES
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15.6"" HD
GRÁFICA: INTEL IRISxe
COLOR: NEGRA";Dell
884116380795;"LAPTOP DELL RYZEN 5 -  8GB - 256 GB SSD - 15,6"" HD - VEGA 8 - 3505";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL RYZEN 5 -  8GB - 256 GB SSD - 15,6"" HD - VEGA 8 - 3505";"NOMBRE DE PRODUCTO: KCDT2
MARCA: DELL 
MODELO: 3505
PROCESADOR: AMD RYZEN 5 3450U
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15.6"" HD
GRÁFICA: AMD VEGA 8
COLOR: GRIS";Dell
195925171321        ;"COMPUTADOR LENOVO AIO CORE i9 - 8GB - 256GB + 500GB - 23.8"" - THINKCENTRE M90A";Computadoras;AIO;Computadoras,AIO;1;"COMPUTADOR LENOVO AIO CORE i9 - 8GB - 256GB + 500GB - 23.8"" - THINKCENTRE M90A";"NOMBRE DE PRODUCTO: 11JXCTO1WW-100-LCR
MARCA: LENOVO 
MODELO: AIO THINKCENTRE M90A
PROCESADOR: INTEL CORE i9-10900
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD + 500 GB HDD
PANTALLA: 23.8"" FHD
GRÁFICA: INTEL UHD GRAPHICS 630
COLOR: NEGRA
UNIDAD OPTICA: SuperMulti-DVD Burner
CAMARA: SI
ACCESORIOS: TECLADO + MOUSE";Lenovo
195042149050        ;"COMPUTADOR LENOVO AIO RYZEN 5 - 8GB - 1TB HDD - 23,8"" HD - RADEON - 32ARE06";Computadoras;AIO;Computadoras,AIO;1;"COMPUTADOR LENOVO AIO RYZEN 5 - 8GB - 1TB HDD - 23,8"" HD - RADEON - 32ARE06";"NOMBRE DE PRODUCTO: 11JXCTO1WW-100-LCR
MARCA: LENOVO 
MODELO: AIO 32ARE06
PROCESADOR: AMD RYZEN 5 4500U
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 23.8"" HD
GRÁFICA: RADEON GRAPHICS
COLOR: GRIS
ACCESORIOS: TECLADO + MOUSE";Lenovo
6YR55AA#ABA         ;CPU HP RYZEN 3 - 8GB - 1TB HDD - VEGA 8 - DVDRW - M01-F0033W BUNDLE;Computadoras;Computadora de Escritorio;Computadoras,Computadora de Escritorio;1;CPU HP RYZEN 3 - 8GB - 1TB HDD - VEGA 8 - DVDRW - M01-F0033W BUNDLE;"NOMBRE DE PRODUCTO: 6YR55AA#ABA
MARCA: HP
MODELO: M01-F0033W BUNDLE
PROCESADOR: AMD RYZEN 3 3200G
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
GRÁFICA: AMD VEGA 8
COLOR: NEGRA
ACCESORIOS: TECLADO + MOUSE";HP
M01-F1063WB-R       ;CPU HP CORE i3 - 8GB - 1TB HDD - DVDRW - M01-F1063WB;Computadoras;Computadora de Escritorio;Computadoras,Computadora de Escritorio;1;CPU HP CORE i3 - 8GB - 1TB HDD - DVDRW - M01-F1063WB;"NOMBRE DE PRODUCTO: 1K0F7AA
MARCA: HP
MODELO: M01-F1063WB-R
PROCESADOR: INTEL CORE i3 10100
MEMORIA: 8 GB DDR4
DISCOS: 1000 GB HDD
GRÁFICA: INTEL UHD GRAPHICS 630
COLOR: NEGRA
ACCESORIOS: TECLADO + MOUSE";HP
195161602689        ;CPU HP CORE i3 - 4GB - 16 OPTANE - 1TB HDD - UHD 630 - DVDRW  - PAVILION TP01-1227C;Computadoras;Computadora de Escritorio;Computadoras,Computadora de Escritorio;1;CPU HP CORE i3 - 4GB - 16 OPTANE - 1TB HDD - UHD 630 - DVDRW  - PAVILION TP01-1227C;-;HP
9EE37AA#ABA         ;CPU HP SLIM CELERON - 4GB - 1TB HDD - DVDRW - S01-PF1013W-R;Computadoras;Computadora de Escritorio;Computadoras,Computadora de Escritorio;1;CPU HP SLIM CELERON - 4GB - 1TB HDD - DVDRW - S01-PF1013W-R;-;HP
11BW0002US-R        ;CPU LENOVO NANO ATHLON - 4GB - 128GB SSD - THINKCENTRE M75N loT;Computadoras;Computadora de Escritorio;Computadoras,Computadora de Escritorio;1;CPU LENOVO NANO ATHLON - 4GB - 128GB SSD - THINKCENTRE M75N loT;-;Lenovo
840006606338        ;MOUSE CORSAIR HARPOON PRO - USB - RGB -  NEGRO - CH9301111NA;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE CORSAIR HARPOON PRO - USB - RGB -  NEGRO - CH9301111NA;-;Corsair
840006623816        ;MOUSE CORSAIR KATAR PRO - WIRELESS - NEGRO - CH931C011NA;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE CORSAIR KATAR PRO - WIRELESS - NEGRO - CH931C011NA;-;Corsair
840006626961        ;MOUSE CORSAIR KATAR PRO XT - USB - NEGRO - CH930C111NA;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE CORSAIR KATAR PRO XT - USB - NEGRO - CH930C111NA;-;Corsair
840006610908        ;MOUSE CORSAIR M55 PRO - USB - RGB - BLANCO CH9308111;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE CORSAIR M55 PRO - USB - RGB - BLANCO CH9308111;-;Corsair
840006607779        ;MOUSE CORSAIR M55 PRO - USB - RGB  - NEGRO - CH9308011;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE CORSAIR M55 PRO - USB - RGB  - NEGRO - CH9308011;-;Corsair
843591078283        ;MOUSE CORSAIR M65 ELITE - USB - RGB - NEGRO - CH9309011NA;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE CORSAIR M65 ELITE - USB - RGB - NEGRO - CH9309011NA;-;Corsair
091163241058        ;MOUSE GENIUS 9005BT - AZUL - BLUETOOTH 4D - TURBO SCROLL;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE GENIUS 9005BT - AZUL - BLUETOOTH 4D - TURBO SCROLL;-;Genius
091163251491        ;MOUSE GENIUS DX-110 - AZUL - USB - G5 BOX;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE GENIUS DX-110 - AZUL - USB - G5 BOX;-;Genius
091163251477        ;MOUSE GENIUS DX-110 - NEGRO - USB - G5 BOX;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE GENIUS DX-110 - NEGRO - USB - G5 BOX;-;Genius
091163251507        ;MOUSE GENIUS DX-110 - ROJO - USB - G5 BOX;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE GENIUS DX-110 - ROJO - USB - G5 BOX;-;Genius
MOUGENDX150XUBL     ;MOUSE GENIUS DX-150X - USB - AZUL - G5 BLUE;Accesorios;Mouse;Accesorios,Mouse;1;MOUSE GENIUS DX-150X - USB - AZUL - G5 BLUE;-;Genius
