Product Id;Tax Id Rules Group
1;53
2;53
3;53
4;53
5;53
6;53
7;53
8;53
9;53
10;53
11;53
12;53
13;53
14;53
15;53
16;53
17;53
18;53
19;53
20;53
21;53
22;53
23;53
24;53
25;53
26;53
27;53
28;53
29;53
30;53
31;53
32;53
33;53
34;53
35;53
36;53
37;53
38;53
39;53
40;53
41;53
42;53
43;53
44;53
45;53
46;53
47;53
48;53
49;53
50;53
51;53
52;53
53;53
54;53
55;53
56;53
57;53
58;53
59;53
60;53
61;53
62;53
63;53
64;53
65;53
66;53
67;53
68;53
69;53
70;53
71;53
72;53
73;53
74;53
75;53
76;53
77;53
78;53
79;53
80;53
81;53
82;53
83;53
84;53
85;53
86;53
87;53
88;53
89;53
90;53
91;53
92;53
93;53
94;53
95;53
96;53
97;53
98;53
99;53
100;53
101;53
102;53
103;53
104;53
105;53
106;53
107;53
108;53
109;53
110;53
111;53
112;53
113;53
114;53
115;53
116;53
117;53
118;53
119;53
120;53
121;53
122;53
123;53
124;53
125;53
126;53
127;53
128;53
129;53
130;53
131;53
132;53
133;53
134;53
135;53
136;53
137;53
138;53
139;53
140;53
141;53
142;53
143;53
144;53
145;53
146;53
147;53
148;53
149;53
150;53
151;53
152;53
153;53
154;53
155;53
156;53
157;53
158;53
159;53
160;53
161;53
162;53
163;53
164;53
165;53
166;53
167;53
168;53
169;53
170;53
171;53
172;53
173;53
174;53
175;53
176;53
177;53
178;53
179;53
180;53
181;53
182;53
183;53
184;53
185;53
186;53
187;53
188;53
189;53
190;53
191;53
192;53
193;53
194;53
195;53
196;53
197;53
198;53
199;53
200;53
201;53
202;53
203;53
204;53
205;53
206;53
207;53
208;53
209;53
210;53
211;53
212;53
213;53
214;53
215;53
216;53
217;53
218;53
219;53
220;53
221;53
222;53
223;53
224;53
225;53
226;53
227;53
228;53
229;53
230;53
231;53
232;53
233;53
234;53
235;53
236;53
237;53
238;53
239;53
240;53
241;53
242;53
243;53
244;53
245;53
246;53
247;53
248;53
249;53
250;53
251;53
252;53
253;53
254;53
255;53
256;53
257;53
258;53
259;53
260;53
261;53
262;53
263;53
264;53
265;53
266;53
267;53
268;53
269;53
270;53
271;53
272;53
273;53
274;53
275;53
276;53
277;53
278;53
279;53
280;53
281;53
282;53
283;53
284;53
285;53
286;53
287;53
288;53
289;53
290;53
291;53
292;53
293;53
294;53
295;53
296;53
297;53
298;53
299;53
300;53
301;53
302;53
303;53
304;53
305;53
306;53
307;53
308;53
309;53
310;53
311;53
312;53
313;53
314;53
315;53
316;53
317;53
318;53
320;53
321;53
